Order_Met,Matched,Interest_Corr,Same_Race,P_Age,P_Pref_Attr,P_Pref_Sinc,P_Pref_Intel,P_Pref_Fun,P_Pref_Amb,P_Pref_Shar,P_Attr,P_Sinc,P_Intel,P_Fun,P_Amb,P_Shar,P_Like,Age,Importance_Race,Importance_Religion,date,Go_Out,Pref_Attr,Pref_Sinc,Pref_Intel,Pref_Fun,Pref_Amb,Pref_Shar,Attr,Sinc,Intel,Fun,Amb,Shar,Like,Met,Architecture,Bio.Chem.Phys.,Business.Econ.,Education,Engineering,Film,Fine_Arts,History.Rel.,Journal.Eng.,Language,Law,Math,Medical_Sc.,PoliSci.Intl.,Social.Wrk.,Social_Sc.,Undecided.Stud.,fd_other,Asian.,Black,Hispanic.,White,race_other,obc_fun_night,obc_get_date.,obc_new_ppl,obc_ser_rel.,obc_ther,obc_tosayso.
0.3,0,0.54,0,21,15,20,20,15,15,15,7,8,7,8,5,6,7,22,1,1,6,6,60,0,0,40,0,0,7,8,10,7,7,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.9,0,0.18,1,24,45,5,25,20,0,5,8,5,6,6,9,6,7,22,1,1,6,6,60,0,0,40,0,0,7,6,10,6,6,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5,0,-0.14,1,25,35,10,35,10,10,0,9,7,9,8,9,7,8,22,1,1,6,6,60,0,0,40,0,0,6,7,10,6,6,5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.2,0,-0.18,1,23,20,20,20,20,10,10,8,7,8,10,7,8,8,22,1,1,6,6,60,0,0,40,0,0,6,5,10,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,21,20,5,25,25,10,15,8,6,6,5,5,5,6,22,1,1,6,6,60,0,0,40,0,0,6,7,10,7,6,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.4,0,0.37,0,23,10,25,20,25,5,15,6,9,9,6,8,2,7,22,1,1,6,6,60,0,0,40,0,0,6,8,10,6,7,6,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1,0,0.21,0,22,15,15,25,20,15,10,6,6,8,4,9,4,7,22,1,1,6,6,60,0,0,40,0,0,7,9,10,6,6,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6,1,-0.11,1,25,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,8,22,1,1,6,6,60,0,0,40,0,0,8,8,10,7,6,5,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,1,0.03,0,26,20,10,20,30,10,10,10,10,10,10,10,10,10,22,1,1,6,6,60,0,0,40,0,0,8,8,10,7,6,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,0,0.65,1,26,15,15,15,40,10,5,1,1,1,1,1,6,1,22,1,1,6,6,60,0,0,40,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0.16,1,21,15,20,20,15,15,15,5,8,9,8,5,7,7,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.6,0,0.1,0,24,45,5,25,20,0,5,5,8,9,6,3,4,6,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.2,0,0.09,0,25,35,10,35,10,10,0,7,9,9,7,9,7,8,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.9,0,0.05,0,23,20,20,20,20,10,10,4,7,8,8,6,7,4,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.7,0,-0.17,0,21,20,5,25,25,10,15,4,6,8,8,6,5,6,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.1,0,-0.51,1,23,10,25,20,25,5,15,4,7,9,4,3,2,6,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.8,0,0.52,1,22,15,15,25,20,15,10,3,6,8,7,8,8,7,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.3,1,0.42,0,25,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,5,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,1,0.68,0,26,20,10,20,30,10,10,5,10,10,6,6,6,8,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.5,1,-0.15,0,26,15,15,15,40,10,5,6,10,10,10,6,6,7,22,3,5,0,6,19,18,19,18,14,12,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.5,1,0.61,0,21,15,20,20,15,15,15,7,6,8,7,6,8,7,23,1,1,3,6,30,5,15,40,5,5,7,8,9,8,9,8,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.1,1,-0.21,1,24,45,5,25,20,0,5,7,9,7,6,5,7,7,23,1,1,3,6,30,5,15,40,5,5,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.7,0,-0.04,1,25,35,10,35,10,10,0,9,7,9,7,9,7,8,23,1,1,3,6,30,5,15,40,5,5,7,9,8,8,8,8,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.4,1,-0.18,1,23,20,20,20,20,10,10,8,10,7,10,7,10,8,23,1,1,3,6,30,5,15,40,5,5,7,7,7,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.2,1,0.08,1,21,20,5,25,25,10,15,8,5,5,7,7,9,8,23,1,1,3,6,30,5,15,40,5,5,6,8,6,8,10,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.6,1,0.12,0,23,10,25,20,25,5,15,8,6,7,8,2,8,9,23,1,1,3,6,30,5,15,40,5,5,6,8,8,7,9,8,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.3,1,-0.46,0,22,15,15,25,20,15,10,7,8,8,7,7,6,8,23,1,1,3,6,30,5,15,40,5,5,8,8,9,8,9,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.8,1,-0.4,1,25,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,5,23,1,1,3,6,30,5,15,40,5,5,8,8,8,8,8,7,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9,1,-0.26,0,26,20,10,20,30,10,10,10,9,8,8,7,7,7,23,1,1,3,6,30,5,15,40,5,5,7,8,7,8,8,7,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0.17,1,26,15,15,15,40,10,5,10,10,10,10,10,6,10,23,1,1,3,6,30,5,15,40,5,5,7,8,7,9,8,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.7,1,0.21,0,21,15,20,20,15,15,15,5,6,7,7,6,6,6,24,3,1,3,6,30,10,20,10,10,20,8,7,9,6,9,7,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.3,0,0.32,0,24,45,5,25,20,0,5,6,8,7,9,7,8,8,24,3,1,3,6,30,10,20,10,10,20,10,10,10,10,7,8,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9,0,-0.14,0,25,35,10,35,10,10,0,9,10,10,10,10,10,9,24,3,1,3,6,30,10,20,10,10,20,6,10,8,6,7,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.6,0,0.21,0,23,20,20,20,20,10,10,6,9,8,9,8,9,7,24,3,1,3,6,30,10,20,10,10,20,8,8,9,8,8,9,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.4,0,-0.16,0,21,20,5,25,25,10,15,6,7,7,5,4,8,7,24,3,1,3,6,30,10,20,10,10,20,5,9,9,7,9,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.8,0,0.35,0,23,10,25,20,25,5,15,5,4,8,8,4,2,4,24,3,1,3,6,30,10,20,10,10,20,9,7,9,7,9,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.5,0,-0.27,0,22,15,15,25,20,15,10,4,7,7,4,8,5,5,24,3,1,3,6,30,10,20,10,10,20,8,7,9,6,9,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,-0.23,0,25,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,6,24,3,1,3,6,30,10,20,10,10,20,9,9,8,9,7,7,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.1,1,-0.01,0,26,20,10,20,30,10,10,5,10,8,8,5,5,5,24,3,1,3,6,30,10,20,10,10,20,7,9,8,9,7,7,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.2,0,0.24,0,26,15,15,15,40,10,5,5,7,7,7,7,6,6,24,3,1,3,6,30,10,20,10,10,20,6,9,9,7,8,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.6,0,0.25,0,21,15,20,20,15,15,15,4,9,7,4,6,4,6,25,9,2,2,6,50,0,30,10,0,10,7,7,8,8,7,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.2,0,0.73,1,24,45,5,25,20,0,5,8,7,8,3,6,2,6,25,9,2,2,6,50,0,30,10,0,10,7,8,7,5,7,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,0,-0.3,1,25,35,10,35,10,10,0,8,10,10,7,9,9,8,25,9,2,2,6,50,0,30,10,0,10,7,6,6,6,6,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5,0,0.37,1,23,20,20,20,20,10,10,5,10,8,4,8,2,4,25,9,2,2,6,50,0,30,10,0,10,6,6,7,7,8,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.3,0,0.06,1,21,20,5,25,25,10,15,5,6,7,5,7,8,7,25,9,2,2,6,50,0,30,10,0,10,5,8,7,7,7,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,0,0.19,0,23,10,25,20,25,5,15,3,7,6,1,1,1,2,25,9,2,2,6,50,0,30,10,0,10,6,6,8,8,8,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.4,0,0.59,0,22,15,15,25,20,15,10,4,8,7,4,5,4,5,25,9,2,2,6,50,0,30,10,0,10,8,8,8,6,6,6,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.9,1,0.28,1,25,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,6,25,9,2,2,6,50,0,30,10,0,10,8,7,7,7,8,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0.42,0,26,20,10,20,30,10,10,8,9,9,7,6,5,6,25,9,2,2,6,50,0,30,10,0,10,6,6,7,8,7,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1,0,0.15,1,26,15,15,15,40,10,5,5,10,6,4,6,6,6,25,9,2,2,6,50,0,30,10,0,10,6.5,8,7,7,7,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1,0,0.34,0,21,15,20,20,15,15,15,7,6,7,4,6,7,6,30,1,1,4,5,35,15,25,10,5,10,3,6,7,5,8,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.7,0,0.6,1,24,45,5,25,20,0,5,7,5,9,6,7,9,8,30,1,1,4,5,35,15,25,10,5,10,5,3,4,3,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.3,0,-0.26,1,25,35,10,35,10,10,0,8,9,10,7,7,9,8,30,1,1,4,5,35,15,25,10,5,10,6,3,5,4,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0.35,1,23,20,20,20,20,10,10,7,10,10,7,10,5,5,30,1,1,4,5,35,15,25,10,5,10,7,6,3,5,6,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.8,0,-0.05,1,21,20,5,25,25,10,15,6,6,8,5,5,6,6,30,1,1,4,5,35,15,25,10,5,10,2,3,4,4,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.2,0,0.47,0,23,10,25,20,25,5,15,8,8,8,8,3,4,8,30,1,1,4,5,35,15,25,10,5,10,5,6,8,4,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.9,0,0.31,0,22,15,15,25,20,15,10,7,7,8,7,7,7,8,30,1,1,4,5,35,15,25,10,5,10,7,6,5,4,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.4,0,0.05,1,25,9.09,18.18,27.27,18.18,18.18,9.09,6,7,8,5,7,7,6,30,1,1,4,5,35,15,25,10,5,10,6,4,7,5,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.5,1,0.21,0,26,20,10,20,30,10,10,6,8,9,6,6,6,7,30,1,1,4,5,35,15,25,10,5,10,8,6,7,8,6,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.6,0,0.41,1,26,15,15,15,40,10,5,5,10,8,6,9,6,7,30,1,1,4,5,35,15,25,10,5,10,7,7,4,3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.2,0,0.5,0,21,15,20,20,15,15,15,4,9,7,6,5,6,6,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,0,0.07,1,24,45,5,25,20,0,5,5,8,7,5,9,5,5,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.4,0,0.29,1,25,35,10,35,10,10,0,7,9,9,8,9,7,8,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1,0,0.15,1,23,20,20,20,20,10,10,5,9,9,5,9,7,6,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.9,0,0.07,1,21,20,5,25,25,10,15,5,5,7,6,7,5,6,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.3,0,0.03,0,23,10,25,20,25,5,15,4,8,9,2,8,3,5,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0.08,0,22,15,15,25,20,15,10,5,7,8,5,9,5,5,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5,1,0.17,1,25,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,5,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6,0,0.1,0,26,20,10,20,30,10,10,6,7,8,7,9,6,7,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,0,0.07,1,26,15,15,15,40,10,5,5,6,6,4,5,6,5,27,8,8,1,6,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,1,0.28,0,21,15,20,20,15,15,15,7,6,8,9,8,8,7,28,1,1,6,6,50,0,25,10,0,15,7,7,8,8,8,9,6.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.4,1,0.11,1,24,45,5,25,20,0,5,7,6,8,9,4,5,5,28,1,1,6,6,50,0,25,10,0,15,8,6,9,9,8,7,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,-0.15,1,25,35,10,35,10,10,0,9,9,9,9,9,9,9,28,1,1,6,6,50,0,25,10,0,15,7,7,6,8,7,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.7,1,-0.47,1,23,20,20,20,20,10,10,9,8,10,10,7,8,8,28,1,1,6,6,50,0,25,10,0,15,7,7,7,10,9,10,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.5,1,-0.13,1,21,20,5,25,25,10,15,7,5,7,8,7,9,9,28,1,1,6,6,50,0,25,10,0,15,5,9,9,9,9,6,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9,1,0.46,0,23,10,25,20,25,5,15,7,6,8,8,6,9,9,28,1,1,6,6,50,0,25,10,0,15,6,7,7,6,6,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.6,1,-0.34,0,22,15,15,25,20,15,10,6,6,8,8,8,6,6,28,1,1,6,6,50,0,25,10,0,15,9,7,9,9,9,10,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.1,1,-0.47,1,25,9.09,18.18,27.27,18.18,18.18,9.09,8,8,5,9,8,9,7,28,1,1,6,6,50,0,25,10,0,15,8,7,8,10,8,10,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.2,1,-0.35,0,26,20,10,20,30,10,10,8,5,5,6,5,5,7,28,1,1,6,6,50,0,25,10,0,15,6,6,6,7,6,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.3,1,0.49,1,26,15,15,15,40,10,5,9,9,9,9,9,9,9,28,1,1,6,6,50,0,25,10,0,15,7,7,7,7,6,6,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9,0,-0.36,0,21,15,20,20,15,15,15,5,6,6,8,10,8,6,24,1,1,6,6,100,0,0,0,0,0,6,6,6,6,6,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5,0,0.39,1,24,45,5,25,20,0,5,6,7,8,7,9,8,8,24,1,1,6,6,100,0,0,0,0,0,6,5,7,7,9,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1,0,-0.47,1,25,35,10,35,10,10,0,8,7,9,7,9,7,8,24,1,1,6,6,100,0,0,0,0,0,5,6,8,5,8,6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,0,-0.19,1,23,20,20,20,20,10,10,8,9,10,10,8,8,10,24,1,1,6,6,100,0,0,0,0,0,7,8,8,7,8,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
